Rank,State,%,"#",Rank,State,%,"#"
"",,,,,,,
1,New Jersey,16.14,"1,112,000",27,Montana,20.00,"163,000"
2,Texas,16.21,"3,347,000",28,Delaware,20.03,"149,000"
3,Maryland,16.96,"781,000",29,Arkansas,20.27,"457,000"
4,Virginia,17.38,"1,115,000",30,Wyoming,20.34,"88,000"
5,Florida,17.39,"2,889,000",31,Oklahoma,20.43,"592,000"
6,South Dakota,17.49,"112,000",32,Alaska,20.50,"108,000"
7,Hawaii,17.58,"187,000",33,New Hampshire,20.56,"221,000"
8,Illinois,18.06,"1,754,000",34,Louisiana,20.63,"715,000"
9,Nebraska,18.08,"257,000",35,Vermont,20.65,"104,000"
10,Georgia,18.09,"1,405,000",36,Nevada,20.67,"474,000"
11,Pennsylvania,18.23,"1,814,000",37,Maine,20.82,"223,000"
12,New York,18.25,"2,802,000",38,Massachusetts,21.22,"1,155,000"
13,Tennessee,18.26,"937,000",39,Rhode Island,21.32,"178,000"
14,South Carolina,18.31,"706,000",40,Alabama,21.39,"794,000"
15,California,18.54,"5,566,000",41,Ohio,21.40,"1,906,000"
16,North Carolina,18.77,"1,469,000",42,Missouri,21.44,"993,000"
17,Connecticut,19.03,"531,000",43,Colorado,21.50,"924,000"
18,Michigan,19.07,"1,469,000",44,Kentucky,22.14,"746,000"
19,New Mexico,19.10,"300,000",45,District of Columbia,22.21,"125,000"
20,North Dakota,19.13,"108,000",46,Washington,22.23,"1,269,000"
21,Arizona,19.24,"1,030,000",47,Oregon,22.45,"731,000"
22,Wisconsin,19.26,"859,000",48,Indiana,22.51,"1,129,000"
23,Minnesota,19.32,"819,000",49,West Virginia,23.80,"337,000"
24,Mississippi,19.49,"431,000",50,Idaho,24.46,"311,000"
25,Kansas,19.59,"420,000",51,Utah,25.25,"550,000"
26,Iowa,19.89,"473,000",,National,19.00,"47,132,000"
