Year,Period,Label,Value,Month,Date,State
2020,M09,2020 Sep,10.4,09,2020-09-01,Illinois
2020,M10,2020 Oct,8.1,10,2020-10-01,Illinois
2020,M11,2020 Nov,8.1,11,2020-11-01,Illinois
2020,M12,2020 Dec,8.0,12,2020-12-01,Illinois
2021,M01,2021 Jan,7.7,01,2021-01-01,Illinois
2021,M02,2021 Feb,7.4,02,2021-02-01,Illinois
2021,M03,2021 Mar,7.1,03,2021-03-01,Illinois
2021,M04,2021 Apr,7.1,04,2021-04-01,Illinois
2021,M05,2021 May,7.1,05,2021-05-01,Illinois
2021,M06,2021 Jun,7.2,06,2021-06-01,Illinois
2021,M07,2021 Jul,7.1,07,2021-07-01,Illinois
2021,M08,2021 Aug,7.0,08,2021-08-01,Illinois
2021,M09,2021 Sep,6.8,09,2021-09-01,Illinois
2019,M01,2019 Jan,3.5,01,2019-01-01,Indiana
2019,M02,2019 Feb,3.4,02,2019-02-01,Indiana
2019,M03,2019 Mar,3.3,03,2019-03-01,Indiana
2019,M04,2019 Apr,3.3,04,2019-04-01,Indiana
2019,M05,2019 May,3.2,05,2019-05-01,Indiana
2019,M06,2019 Jun,3.2,06,2019-06-01,Indiana
2019,M07,2019 Jul,3.2,07,2019-07-01,Indiana
2019,M08,2019 Aug,3.2,08,2019-08-01,Indiana
2019,M09,2019 Sep,3.2,09,2019-09-01,Indiana
2019,M10,2019 Oct,3.1,10,2019-10-01,Indiana
2019,M11,2019 Nov,3.1,11,2019-11-01,Indiana
2019,M12,2019 Dec,3.1,12,2019-12-01,Indiana
2020,M01,2020 Jan,3.2,01,2020-01-01,Indiana
2020,M02,2020 Feb,3.2,02,2020-02-01,Indiana
2020,M03,2020 Mar,3.3,03,2020-03-01,Indiana
2020,M04,2020 Apr,16.9,04,2020-04-01,Indiana
2020,M05,2020 May,12.0,05,2020-05-01,Indiana
2020,M06,2020 Jun,10.1,06,2020-06-01,Indiana
2020,M07,2020 Jul,8.6,07,2020-07-01,Indiana
2020,M08,2020 Aug,7.3,08,2020-08-01,Indiana
2020,M09,2020 Sep,6.3,09,2020-09-01,Indiana
2020,M10,2020 Oct,5.6,10,2020-10-01,Indiana
2020,M11,2020 Nov,5.0,11,2020-11-01,Indiana
2020,M12,2020 Dec,4.6,12,2020-12-01,Indiana
2021,M01,2021 Jan,4.2,01,2021-01-01,Indiana
2021,M02,2021 Feb,4.0,02,2021-02-01,Indiana
2021,M03,2021 Mar,3.9,03,2021-03-01,Indiana
2021,M04,2021 Apr,3.9,04,2021-04-01,Indiana
2021,M05,2021 May,4.0,05,2021-05-01,Indiana
2021,M06,2021 Jun,4.1,06,2021-06-01,Indiana
2021,M07,2021 Jul,4.1,07,2021-07-01,Indiana
2021,M08,2021 Aug,4.1,08,2021-08-01,Indiana
2021,M09,2021 Sep,4.0,09,2021-09-01,Indiana
2019,M01,2019 Jan,2.7,01,2019-01-01,Iowa
2019,M02,2019 Feb,2.7,02,2019-02-01,Iowa
2019,M03,2019 Mar,2.7,03,2019-03-01,Iowa
2019,M04,2019 Apr,2.7,04,2019-04-01,Iowa
2019,M05,2019 May,2.7,05,2019-05-01,Iowa
2019,M06,2019 Jun,2.7,06,2019-06-01,Iowa
2019,M07,2019 Jul,2.8,07,2019-07-01,Iowa
2019,M08,2019 Aug,2.8,08,2019-08-01,Iowa
2019,M09,2019 Sep,2.8,09,2019-09-01,Iowa
2019,M10,2019 Oct,2.8,10,2019-10-01,Iowa
2019,M11,2019 Nov,2.8,11,2019-11-01,Iowa
2019,M12,2019 Dec,2.8,12,2019-12-01,Iowa
2020,M01,2020 Jan,2.8,01,2020-01-01,Iowa
2020,M02,2020 Feb,2.9,02,2020-02-01,Iowa
2020,M03,2020 Mar,2.9,03,2020-03-01,Iowa
2020,M04,2020 Apr,11.1,04,2020-04-01,Iowa
2020,M05,2020 May,8.3,05,2020-05-01,Iowa
2020,M06,2020 Jun,7.1,06,2020-06-01,Iowa
2020,M07,2020 Jul,6.1,07,2020-07-01,Iowa
2020,M08,2020 Aug,5.3,08,2020-08-01,Iowa
2020,M09,2020 Sep,4.7,09,2020-09-01,Iowa
2020,M10,2020 Oct,4.2,10,2020-10-01,Iowa
2020,M11,2020 Nov,3.9,11,2020-11-01,Iowa
2020,M12,2020 Dec,3.7,12,2020-12-01,Iowa
2021,M01,2021 Jan,3.6,01,2021-01-01,Iowa
2021,M02,2021 Feb,3.7,02,2021-02-01,Iowa
2021,M03,2021 Mar,3.7,03,2021-03-01,Iowa
2021,M04,2021 Apr,3.8,04,2021-04-01,Iowa
2021,M05,2021 May,3.9,05,2021-05-01,Iowa
2021,M06,2021 Jun,4.0,06,2021-06-01,Iowa
2021,M07,2021 Jul,4.1,07,2021-07-01,Iowa
2021,M08,2021 Aug,4.1,08,2021-08-01,Iowa
2021,M09,2021 Sep,4.0,09,2021-09-01,Iowa
2019,M01,2019 Jan,3.3,01,2019-01-01,Kansas
2019,M02,2019 Feb,3.3,02,2019-02-01,Kansas
2019,M03,2019 Mar,3.2,03,2019-03-01,Kansas
2019,M04,2019 Apr,3.1,04,2019-04-01,Kansas
2019,M05,2019 May,3.1,05,2019-05-01,Kansas
2019,M06,2019 Jun,3.1,06,2019-06-01,Kansas
2019,M07,2019 Jul,3.1,07,2019-07-01,Kansas
2019,M08,2019 Aug,3.1,08,2019-08-01,Kansas
2019,M09,2019 Sep,3.1,09,2019-09-01,Kansas
2019,M10,2019 Oct,3.1,10,2019-10-01,Kansas
2019,M11,2019 Nov,3.1,11,2019-11-01,Kansas
2019,M12,2019 Dec,3.1,12,2019-12-01,Kansas
2020,M01,2020 Jan,3.1,01,2020-01-01,Kansas
2020,M02,2020 Feb,3.2,02,2020-02-01,Kansas
2020,M03,2020 Mar,3.2,03,2020-03-01,Kansas
2020,M04,2020 Apr,12.6,04,2020-04-01,Kansas
2020,M05,2020 May,9.0,05,2020-05-01,Kansas
2020,M06,2020 Jun,7.0,06,2020-06-01,Kansas
2020,M07,2020 Jul,6.6,07,2020-07-01,Kansas
2020,M08,2020 Aug,6.2,08,2020-08-01,Kansas
2020,M09,2020 Sep,6.1,09,2020-09-01,Kansas
2020,M10,2020 Oct,4.7,10,2020-10-01,Kansas
2020,M11,2020 Nov,4.7,11,2020-11-01,Kansas
2020,M12,2020 Dec,4.7,12,2020-12-01,Kansas
2021,M01,2021 Jan,3.4,01,2021-01-01,Kansas
2021,M02,2021 Feb,3.8,02,2021-02-01,Kansas
2021,M03,2021 Mar,3.7,03,2021-03-01,Kansas
2021,M04,2021 Apr,3.5,04,2021-04-01,Kansas
2021,M05,2021 May,3.5,05,2021-05-01,Kansas
2021,M06,2021 Jun,3.7,06,2021-06-01,Kansas
2021,M07,2021 Jul,3.8,07,2021-07-01,Kansas
2021,M08,2021 Aug,3.8,08,2021-08-01,Kansas
2021,M09,2021 Sep,3.9,09,2021-09-01,Kansas
2019,M01,2019 Jan,4.2,01,2019-01-01,Kentucky
2019,M02,2019 Feb,4.2,02,2019-02-01,Kentucky
2019,M03,2019 Mar,4.1,03,2019-03-01,Kentucky
2019,M04,2019 Apr,4.1,04,2019-04-01,Kentucky
2019,M05,2019 May,4.1,05,2019-05-01,Kentucky
2019,M06,2019 Jun,4.1,06,2019-06-01,Kentucky
2019,M07,2019 Jul,4.1,07,2019-07-01,Kentucky
2019,M08,2019 Aug,4.1,08,2019-08-01,Kentucky
2019,M09,2019 Sep,4.1,09,2019-09-01,Kentucky
2019,M10,2019 Oct,4.1,10,2019-10-01,Kentucky
2019,M11,2019 Nov,4.1,11,2019-11-01,Kentucky
2019,M12,2019 Dec,4.1,12,2019-12-01,Kentucky
2020,M01,2020 Jan,4.1,01,2020-01-01,Kentucky
2020,M02,2020 Feb,4.2,02,2020-02-01,Kentucky
2020,M03,2020 Mar,4.2,03,2020-03-01,Kentucky
2020,M04,2020 Apr,16.9,04,2020-04-01,Kentucky
2020,M05,2020 May,10.9,05,2020-05-01,Kentucky
2020,M06,2020 Jun,5.7,06,2020-06-01,Kentucky
2020,M07,2020 Jul,5.6,07,2020-07-01,Kentucky
2020,M08,2020 Aug,5.5,08,2020-08-01,Kentucky
2020,M09,2020 Sep,5.5,09,2020-09-01,Kentucky
2020,M10,2020 Oct,5.5,10,2020-10-01,Kentucky
2020,M11,2020 Nov,5.6,11,2020-11-01,Kentucky
2020,M12,2020 Dec,5.6,12,2020-12-01,Kentucky
2021,M01,2021 Jan,5.3,01,2021-01-01,Kentucky
2021,M02,2021 Feb,5.2,02,2021-02-01,Kentucky
2021,M03,2021 Mar,5.0,03,2021-03-01,Kentucky
2021,M04,2021 Apr,4.7,04,2021-04-01,Kentucky
2021,M05,2021 May,4.5,05,2021-05-01,Kentucky
2021,M06,2021 Jun,4.4,06,2021-06-01,Kentucky
2021,M07,2021 Jul,4.4,07,2021-07-01,Kentucky
2021,M08,2021 Aug,4.3,08,2021-08-01,Kentucky
2021,M09,2021 Sep,4.3,09,2021-09-01,Kentucky
2019,M01,2019 Jan,4.7,01,2019-01-01,Louisiana
2019,M02,2019 Feb,4.6,02,2019-02-01,Louisiana
2019,M03,2019 Mar,4.4,03,2019-03-01,Louisiana
2019,M04,2019 Apr,4.4,04,2019-04-01,Louisiana
2019,M05,2019 May,4.3,05,2019-05-01,Louisiana
2019,M06,2019 Jun,4.4,06,2019-06-01,Louisiana
2019,M07,2019 Jul,4.5,07,2019-07-01,Louisiana
2019,M08,2019 Aug,4.7,08,2019-08-01,Louisiana
2019,M09,2019 Sep,4.8,09,2019-09-01,Louisiana
2019,M10,2019 Oct,4.9,10,2019-10-01,Louisiana
2019,M11,2019 Nov,4.9,11,2019-11-01,Louisiana
2019,M12,2019 Dec,5.0,12,2019-12-01,Louisiana
2020,M01,2020 Jan,5.1,01,2020-01-01,Louisiana
2020,M02,2020 Feb,5.2,02,2020-02-01,Louisiana
2020,M03,2020 Mar,5.3,03,2020-03-01,Louisiana
2020,M04,2020 Apr,13.1,04,2020-04-01,Louisiana
2020,M05,2020 May,13.1,05,2020-05-01,Louisiana
2020,M06,2020 Jun,9.4,06,2020-06-01,Louisiana
2020,M07,2020 Jul,9.1,07,2020-07-01,Louisiana
2020,M08,2020 Aug,8.2,08,2020-08-01,Louisiana
2020,M09,2020 Sep,8.0,09,2020-09-01,Louisiana
2020,M10,2020 Oct,7.9,10,2020-10-01,Louisiana
2020,M11,2020 Nov,7.9,11,2020-11-01,Louisiana
2020,M12,2020 Dec,7.9,12,2020-12-01,Louisiana
2021,M01,2021 Jan,7.6,01,2021-01-01,Louisiana
2021,M02,2021 Feb,7.6,02,2021-02-01,Louisiana
2021,M03,2021 Mar,7.4,03,2021-03-01,Louisiana
2021,M04,2021 Apr,7.2,04,2021-04-01,Louisiana
2021,M05,2021 May,7.1,05,2021-05-01,Louisiana
2021,M06,2021 Jun,6.9,06,2021-06-01,Louisiana
2021,M07,2021 Jul,6.6,07,2021-07-01,Louisiana
2021,M08,2021 Aug,6.2,08,2021-08-01,Louisiana
2021,M09,2021 Sep,5.8,09,2021-09-01,Louisiana
2019,M01,2019 Jan,3.0,01,2019-01-01,Maine
2019,M02,2019 Feb,2.8,02,2019-02-01,Maine
2019,M03,2019 Mar,2.7,03,2019-03-01,Maine
2019,M04,2019 Apr,2.6,04,2019-04-01,Maine
2019,M05,2019 May,2.6,05,2019-05-01,Maine
2019,M06,2019 Jun,2.6,06,2019-06-01,Maine
2019,M07,2019 Jul,2.7,07,2019-07-01,Maine
2019,M08,2019 Aug,2.7,08,2019-08-01,Maine
2019,M09,2019 Sep,2.7,09,2019-09-01,Maine
2019,M10,2019 Oct,2.7,10,2019-10-01,Maine
2019,M11,2019 Nov,2.7,11,2019-11-01,Maine
2019,M12,2019 Dec,2.8,12,2019-12-01,Maine
2020,M01,2020 Jan,3.0,01,2020-01-01,Maine
2020,M02,2020 Feb,3.1,02,2020-02-01,Maine
2020,M03,2020 Mar,3.1,03,2020-03-01,Maine
2020,M04,2020 Apr,9.1,04,2020-04-01,Maine
2020,M05,2020 May,8.3,05,2020-05-01,Maine
2020,M06,2020 Jun,5.3,06,2020-06-01,Maine
2020,M07,2020 Jul,8.8,07,2020-07-01,Maine
2020,M08,2020 Aug,5.2,08,2020-08-01,Maine
2020,M09,2020 Sep,4.9,09,2020-09-01,Maine
2020,M10,2020 Oct,4.8,10,2020-10-01,Maine
2020,M11,2020 Nov,4.9,11,2020-11-01,Maine
2020,M12,2020 Dec,5.0,12,2020-12-01,Maine
2021,M01,2021 Jan,5.2,01,2021-01-01,Maine
2021,M02,2021 Feb,4.8,02,2021-02-01,Maine
2021,M03,2021 Mar,4.8,03,2021-03-01,Maine
2021,M04,2021 Apr,4.8,04,2021-04-01,Maine
2021,M05,2021 May,4.8,05,2021-05-01,Maine
2021,M06,2021 Jun,4.8,06,2021-06-01,Maine
2021,M07,2021 Jul,4.9,07,2021-07-01,Maine
2021,M08,2021 Aug,4.9,08,2021-08-01,Maine
2021,M09,2021 Sep,4.8,09,2021-09-01,Maine
2019,M01,2019 Jan,3.7,01,2019-01-01,Maryland
2019,M02,2019 Feb,3.6,02,2019-02-01,Maryland
2019,M03,2019 Mar,3.6,03,2019-03-01,Maryland
2019,M04,2019 Apr,3.5,04,2019-04-01,Maryland
2019,M05,2019 May,3.5,05,2019-05-01,Maryland
2019,M06,2019 Jun,3.5,06,2019-06-01,Maryland
2019,M07,2019 Jul,3.5,07,2019-07-01,Maryland
2019,M08,2019 Aug,3.5,08,2019-08-01,Maryland
2019,M09,2019 Sep,3.4,09,2019-09-01,Maryland
2019,M10,2019 Oct,3.4,10,2019-10-01,Maryland
2019,M11,2019 Nov,3.3,11,2019-11-01,Maryland
2019,M12,2019 Dec,3.3,12,2019-12-01,Maryland
2020,M01,2020 Jan,3.4,01,2020-01-01,Maryland
2020,M02,2020 Feb,3.5,02,2020-02-01,Maryland
2020,M03,2020 Mar,3.5,03,2020-03-01,Maryland
2020,M04,2020 Apr,9.0,04,2020-04-01,Maryland
2020,M05,2020 May,9.0,05,2020-05-01,Maryland
2020,M06,2020 Jun,8.6,06,2020-06-01,Maryland
2020,M07,2020 Jul,8.7,07,2020-07-01,Maryland
2020,M08,2020 Aug,8.6,08,2020-08-01,Maryland
2020,M09,2020 Sep,7.0,09,2020-09-01,Maryland
2020,M10,2020 Oct,6.8,10,2020-10-01,Maryland
2020,M11,2020 Nov,6.8,11,2020-11-01,Maryland
2020,M12,2020 Dec,6.8,12,2020-12-01,Maryland
2021,M01,2021 Jan,6.4,01,2021-01-01,Maryland
2021,M02,2021 Feb,6.2,02,2021-02-01,Maryland
2021,M03,2021 Mar,6.2,03,2021-03-01,Maryland
2021,M04,2021 Apr,6.2,04,2021-04-01,Maryland
2021,M05,2021 May,6.1,05,2021-05-01,Maryland
2021,M06,2021 Jun,6.2,06,2021-06-01,Maryland
2021,M07,2021 Jul,6.0,07,2021-07-01,Maryland
2021,M08,2021 Aug,6.0,08,2021-08-01,Maryland
2021,M09,2021 Sep,5.9,09,2021-09-01,Maryland
2019,M01,2019 Jan,3.2,01,2019-01-01,Massachusetts
2019,M02,2019 Feb,3.2,02,2019-02-01,Massachusetts
2019,M03,2019 Mar,3.1,03,2019-03-01,Massachusetts
2019,M04,2019 Apr,3.1,04,2019-04-01,Massachusetts
2019,M05,2019 May,3.0,05,2019-05-01,Massachusetts
2019,M06,2019 Jun,3.0,06,2019-06-01,Massachusetts
2019,M07,2019 Jul,3.0,07,2019-07-01,Massachusetts
2019,M08,2019 Aug,3.0,08,2019-08-01,Massachusetts
2019,M09,2019 Sep,3.0,09,2019-09-01,Massachusetts
2019,M10,2019 Oct,2.9,10,2019-10-01,Massachusetts
2019,M11,2019 Nov,2.9,11,2019-11-01,Massachusetts
2019,M12,2019 Dec,2.9,12,2019-12-01,Massachusetts
2020,M01,2020 Jan,2.8,01,2020-01-01,Massachusetts
2020,M02,2020 Feb,2.8,02,2020-02-01,Massachusetts
2020,M03,2020 Mar,2.7,03,2020-03-01,Massachusetts
2020,M04,2020 Apr,16.4,04,2020-04-01,Massachusetts
2020,M05,2020 May,15.3,05,2020-05-01,Massachusetts
2020,M06,2020 Jun,14.8,06,2020-06-01,Massachusetts
2020,M07,2020 Jul,9.8,07,2020-07-01,Massachusetts
2020,M08,2020 Aug,9.3,08,2020-08-01,Massachusetts
2020,M09,2020 Sep,8.9,09,2020-09-01,Massachusetts
2020,M10,2020 Oct,8.5,10,2020-10-01,Massachusetts
2020,M11,2020 Nov,8.4,11,2020-11-01,Massachusetts
2020,M12,2020 Dec,8.4,12,2020-12-01,Massachusetts
2021,M01,2021 Jan,7.8,01,2021-01-01,Massachusetts
2021,M02,2021 Feb,7.0,02,2021-02-01,Massachusetts
2021,M03,2021 Mar,6.7,03,2021-03-01,Massachusetts
2021,M04,2021 Apr,6.4,04,2021-04-01,Massachusetts
2021,M05,2021 May,5.0,05,2021-05-01,Massachusetts
2021,M06,2021 Jun,4.9,06,2021-06-01,Massachusetts
2021,M07,2021 Jul,4.9,07,2021-07-01,Massachusetts
2021,M08,2021 Aug,5.0,08,2021-08-01,Massachusetts
2021,M09,2021 Sep,5.2,09,2021-09-01,Massachusetts
2019,M01,2019 Jan,4.2,01,2019-01-01,Michigan
2019,M02,2019 Feb,4.2,02,2019-02-01,Michigan
2019,M03,2019 Mar,4.2,03,2019-03-01,Michigan
2019,M04,2019 Apr,4.2,04,2019-04-01,Michigan
2019,M05,2019 May,4.2,05,2019-05-01,Michigan
2019,M06,2019 Jun,4.2,06,2019-06-01,Michigan
2019,M07,2019 Jul,4.1,07,2019-07-01,Michigan
2019,M08,2019 Aug,4.1,08,2019-08-01,Michigan
2019,M09,2019 Sep,4.0,09,2019-09-01,Michigan
2019,M10,2019 Oct,3.9,10,2019-10-01,Michigan
2019,M11,2019 Nov,3.8,11,2019-11-01,Michigan
2019,M12,2019 Dec,3.7,12,2019-12-01,Michigan
2020,M01,2020 Jan,3.7,01,2020-01-01,Michigan
2020,M02,2020 Feb,3.7,02,2020-02-01,Michigan
2020,M03,2020 Mar,3.7,03,2020-03-01,Michigan
2020,M04,2020 Apr,23.6,04,2020-04-01,Michigan
2020,M05,2020 May,20.8,05,2020-05-01,Michigan
2020,M06,2020 Jun,14.1,06,2020-06-01,Michigan
2020,M07,2020 Jul,9.0,07,2020-07-01,Michigan
2020,M08,2020 Aug,8.5,08,2020-08-01,Michigan
2020,M09,2020 Sep,8.2,09,2020-09-01,Michigan
2020,M10,2020 Oct,8.1,10,2020-10-01,Michigan
2020,M11,2020 Nov,8.2,11,2020-11-01,Michigan
2020,M12,2020 Dec,8.2,12,2020-12-01,Michigan
2021,M01,2021 Jan,5.7,01,2021-01-01,Michigan
2021,M02,2021 Feb,5.2,02,2021-02-01,Michigan
2021,M03,2021 Mar,5.1,03,2021-03-01,Michigan
2021,M04,2021 Apr,4.9,04,2021-04-01,Michigan
2021,M05,2021 May,5.0,05,2021-05-01,Michigan
2021,M06,2021 Jun,5.0,06,2021-06-01,Michigan
2021,M07,2021 Jul,4.8,07,2021-07-01,Michigan
2021,M08,2021 Aug,4.7,08,2021-08-01,Michigan
2021,M09,2021 Sep,4.6,09,2021-09-01,Michigan
2019,M01,2019 Jan,3.2,01,2019-01-01,Minnesota
2019,M02,2019 Feb,3.2,02,2019-02-01,Minnesota
2019,M03,2019 Mar,3.2,03,2019-03-01,Minnesota
2019,M04,2019 Apr,3.2,04,2019-04-01,Minnesota
2019,M05,2019 May,3.1,05,2019-05-01,Minnesota
2019,M06,2019 Jun,3.1,06,2019-06-01,Minnesota
2019,M07,2019 Jul,3.1,07,2019-07-01,Minnesota
2019,M08,2019 Aug,3.1,08,2019-08-01,Minnesota
2019,M09,2019 Sep,3.1,09,2019-09-01,Minnesota
2019,M10,2019 Oct,3.1,10,2019-10-01,Minnesota
2019,M11,2019 Nov,3.1,11,2019-11-01,Minnesota
2019,M12,2019 Dec,3.1,12,2019-12-01,Minnesota
2020,M01,2020 Jan,3.2,01,2020-01-01,Minnesota
2020,M02,2020 Feb,3.3,02,2020-02-01,Minnesota
2020,M03,2020 Mar,3.5,03,2020-03-01,Minnesota
2020,M04,2020 Apr,9.0,04,2020-04-01,Minnesota
2020,M05,2020 May,11.3,05,2020-05-01,Minnesota
2020,M06,2020 Jun,8.9,06,2020-06-01,Minnesota
2020,M07,2020 Jul,7.6,07,2020-07-01,Minnesota
2020,M08,2020 Aug,6.6,08,2020-08-01,Minnesota
2020,M09,2020 Sep,5.8,09,2020-09-01,Minnesota
2020,M10,2020 Oct,5.3,10,2020-10-01,Minnesota
2020,M11,2020 Nov,5.0,11,2020-11-01,Minnesota
2020,M12,2020 Dec,4.7,12,2020-12-01,Minnesota
2021,M01,2021 Jan,4.5,01,2021-01-01,Minnesota
2021,M02,2021 Feb,4.4,02,2021-02-01,Minnesota
2021,M03,2021 Mar,4.2,03,2021-03-01,Minnesota
2021,M04,2021 Apr,4.1,04,2021-04-01,Minnesota
2021,M05,2021 May,4.0,05,2021-05-01,Minnesota
2021,M06,2021 Jun,4.0,06,2021-06-01,Minnesota
2021,M07,2021 Jul,3.9,07,2021-07-01,Minnesota
2021,M08,2021 Aug,3.8,08,2021-08-01,Minnesota
2021,M09,2021 Sep,3.7,09,2021-09-01,Minnesota
2019,M01,2019 Jan,5.4,01,2019-01-01,Mississippi
2019,M02,2019 Feb,5.4,02,2019-02-01,Mississippi
2019,M03,2019 Mar,5.4,03,2019-03-01,Mississippi
2019,M04,2019 Apr,5.4,04,2019-04-01,Mississippi
2019,M05,2019 May,5.4,05,2019-05-01,Mississippi
2019,M06,2019 Jun,5.5,06,2019-06-01,Mississippi
2019,M07,2019 Jul,5.6,07,2019-07-01,Mississippi
2019,M08,2019 Aug,5.7,08,2019-08-01,Mississippi
2019,M09,2019 Sep,5.7,09,2019-09-01,Mississippi
2019,M10,2019 Oct,5.6,10,2019-10-01,Mississippi
2019,M11,2019 Nov,5.6,11,2019-11-01,Mississippi
2019,M12,2019 Dec,5.5,12,2019-12-01,Mississippi
2020,M01,2020 Jan,5.6,01,2020-01-01,Mississippi
2020,M02,2020 Feb,5.8,02,2020-02-01,Mississippi
2020,M03,2020 Mar,6.0,03,2020-03-01,Mississippi
2020,M04,2020 Apr,15.7,04,2020-04-01,Mississippi
2020,M05,2020 May,11.0,05,2020-05-01,Mississippi
2020,M06,2020 Jun,9.6,06,2020-06-01,Mississippi
2020,M07,2020 Jul,8.5,07,2020-07-01,Mississippi
2020,M08,2020 Aug,7.8,08,2020-08-01,Mississippi
2020,M09,2020 Sep,7.2,09,2020-09-01,Mississippi
2020,M10,2020 Oct,6.9,10,2020-10-01,Mississippi
2020,M11,2020 Nov,6.7,11,2020-11-01,Mississippi
2020,M12,2020 Dec,6.6,12,2020-12-01,Mississippi
2021,M01,2021 Jan,6.4,01,2021-01-01,Mississippi
2021,M02,2021 Feb,6.3,02,2021-02-01,Mississippi
2021,M03,2021 Mar,6.2,03,2021-03-01,Mississippi
2021,M04,2021 Apr,6.2,04,2021-04-01,Mississippi
2021,M05,2021 May,6.1,05,2021-05-01,Mississippi
2021,M06,2021 Jun,6.2,06,2021-06-01,Mississippi
2021,M07,2021 Jul,6.1,07,2021-07-01,Mississippi
2021,M08,2021 Aug,6.0,08,2021-08-01,Mississippi
2021,M09,2021 Sep,5.8,09,2021-09-01,Mississippi
2019,M01,2019 Jan,3.2,01,2019-01-01,Missouri
2019,M02,2019 Feb,3.2,02,2019-02-01,Missouri
2019,M03,2019 Mar,3.2,03,2019-03-01,Missouri
2019,M04,2019 Apr,3.1,04,2019-04-01,Missouri
2019,M05,2019 May,3.1,05,2019-05-01,Missouri
2019,M06,2019 Jun,3.2,06,2019-06-01,Missouri
2019,M07,2019 Jul,3.2,07,2019-07-01,Missouri
2019,M08,2019 Aug,3.3,08,2019-08-01,Missouri
2019,M09,2019 Sep,3.4,09,2019-09-01,Missouri
2019,M10,2019 Oct,3.4,10,2019-10-01,Missouri
2019,M11,2019 Nov,3.5,11,2019-11-01,Missouri
2019,M12,2019 Dec,3.5,12,2019-12-01,Missouri
2020,M01,2020 Jan,3.6,01,2020-01-01,Missouri
2020,M02,2020 Feb,3.6,02,2020-02-01,Missouri
2020,M03,2020 Mar,3.7,03,2020-03-01,Missouri
2020,M04,2020 Apr,12.5,04,2020-04-01,Missouri
2020,M05,2020 May,9.6,05,2020-05-01,Missouri
2020,M06,2020 Jun,8.1,06,2020-06-01,Missouri
2020,M07,2020 Jul,6.8,07,2020-07-01,Missouri
2020,M08,2020 Aug,6.0,08,2020-08-01,Missouri
2020,M09,2020 Sep,5.4,09,2020-09-01,Missouri
2020,M10,2020 Oct,5.0,10,2020-10-01,Missouri
2020,M11,2020 Nov,4.7,11,2020-11-01,Missouri
2020,M12,2020 Dec,4.4,12,2020-12-01,Missouri
2021,M01,2021 Jan,4.3,01,2021-01-01,Missouri
2021,M02,2021 Feb,4.3,02,2021-02-01,Missouri
2021,M03,2021 Mar,4.2,03,2021-03-01,Missouri
2021,M04,2021 Apr,4.1,04,2021-04-01,Missouri
2021,M05,2021 May,4.2,05,2021-05-01,Missouri
2021,M06,2021 Jun,4.3,06,2021-06-01,Missouri
2021,M07,2021 Jul,4.2,07,2021-07-01,Missouri
2021,M08,2021 Aug,4.0,08,2021-08-01,Missouri
2021,M09,2021 Sep,3.8,09,2021-09-01,Missouri
2019,M01,2019 Jan,3.7,01,2019-01-01,Montana
2019,M02,2019 Feb,3.6,02,2019-02-01,Montana
2019,M03,2019 Mar,3.6,03,2019-03-01,Montana
2019,M04,2019 Apr,3.6,04,2019-04-01,Montana
2019,M05,2019 May,3.6,05,2019-05-01,Montana
2019,M06,2019 Jun,3.6,06,2019-06-01,Montana
2019,M07,2019 Jul,3.6,07,2019-07-01,Montana
2019,M08,2019 Aug,3.6,08,2019-08-01,Montana
2019,M09,2019 Sep,3.6,09,2019-09-01,Montana
2019,M10,2019 Oct,3.6,10,2019-10-01,Montana
2019,M11,2019 Nov,3.6,11,2019-11-01,Montana
2019,M12,2019 Dec,3.6,12,2019-12-01,Montana
2020,M01,2020 Jan,3.7,01,2020-01-01,Montana
2020,M02,2020 Feb,3.7,02,2020-02-01,Montana
2020,M03,2020 Mar,3.8,03,2020-03-01,Montana
2020,M04,2020 Apr,11.9,04,2020-04-01,Montana
2020,M05,2020 May,9.1,05,2020-05-01,Montana
2020,M06,2020 Jun,7.6,06,2020-06-01,Montana
2020,M07,2020 Jul,6.6,07,2020-07-01,Montana
2020,M08,2020 Aug,5.8,08,2020-08-01,Montana
2020,M09,2020 Sep,5.2,09,2020-09-01,Montana
2020,M10,2020 Oct,4.7,10,2020-10-01,Montana
2020,M11,2020 Nov,4.5,11,2020-11-01,Montana
2020,M12,2020 Dec,4.2,12,2020-12-01,Montana
2021,M01,2021 Jan,4.0,01,2021-01-01,Montana
2021,M02,2021 Feb,3.9,02,2021-02-01,Montana
2021,M03,2021 Mar,3.8,03,2021-03-01,Montana
2021,M04,2021 Apr,3.7,04,2021-04-01,Montana
2021,M05,2021 May,3.6,05,2021-05-01,Montana
2021,M06,2021 Jun,3.7,06,2021-06-01,Montana
2021,M07,2021 Jul,3.6,07,2021-07-01,Montana
2021,M08,2021 Aug,3.5,08,2021-08-01,Montana
2021,M09,2021 Sep,3.3,09,2021-09-01,Montana
2019,M01,2019 Jan,3.0,01,2019-01-01,Nebraska
2019,M02,2019 Feb,3.0,02,2019-02-01,Nebraska
2019,M03,2019 Mar,3.0,03,2019-03-01,Nebraska
2019,M04,2019 Apr,3.0,04,2019-04-01,Nebraska
2019,M05,2019 May,3.0,05,2019-05-01,Nebraska
2019,M06,2019 Jun,3.0,06,2019-06-01,Nebraska
2019,M07,2019 Jul,3.0,07,2019-07-01,Nebraska
