Year,Period,Label,Value,Month,Date,State
2021,M01,2021 Jan,6.7,01,2021-01-01,Arizona
2021,M02,2021 Feb,6.9,02,2021-02-01,Arizona
2021,M03,2021 Mar,6.7,03,2021-03-01,Arizona
2021,M04,2021 Apr,6.7,04,2021-04-01,Arizona
2021,M05,2021 May,6.7,05,2021-05-01,Arizona
2021,M06,2021 Jun,6.8,06,2021-06-01,Arizona
2021,M07,2021 Jul,6.6,07,2021-07-01,Arizona
2021,M08,2021 Aug,6.2,08,2021-08-01,Arizona
2021,M09,2021 Sep,5.7,09,2021-09-01,Arizona
2019,M01,2019 Jan,3.6,01,2019-01-01,Arkansas
2019,M02,2019 Feb,3.6,02,2019-02-01,Arkansas
2019,M03,2019 Mar,3.5,03,2019-03-01,Arkansas
2019,M04,2019 Apr,3.4,04,2019-04-01,Arkansas
2019,M05,2019 May,3.4,05,2019-05-01,Arkansas
2019,M06,2019 Jun,3.5,06,2019-06-01,Arkansas
2019,M07,2019 Jul,3.5,07,2019-07-01,Arkansas
2019,M08,2019 Aug,3.5,08,2019-08-01,Arkansas
2019,M09,2019 Sep,3.5,09,2019-09-01,Arkansas
2019,M10,2019 Oct,3.5,10,2019-10-01,Arkansas
2019,M11,2019 Nov,3.5,11,2019-11-01,Arkansas
2019,M12,2019 Dec,3.6,12,2019-12-01,Arkansas
2020,M01,2020 Jan,3.7,01,2020-01-01,Arkansas
2020,M02,2020 Feb,3.8,02,2020-02-01,Arkansas
2020,M03,2020 Mar,3.9,03,2020-03-01,Arkansas
2020,M04,2020 Apr,10.0,04,2020-04-01,Arkansas
2020,M05,2020 May,8.5,05,2020-05-01,Arkansas
2020,M06,2020 Jun,7.8,06,2020-06-01,Arkansas
2020,M07,2020 Jul,7.1,07,2020-07-01,Arkansas
2020,M08,2020 Aug,6.5,08,2020-08-01,Arkansas
2020,M09,2020 Sep,5.9,09,2020-09-01,Arkansas
2020,M10,2020 Oct,5.6,10,2020-10-01,Arkansas
2020,M11,2020 Nov,5.3,11,2020-11-01,Arkansas
2020,M12,2020 Dec,4.9,12,2020-12-01,Arkansas
2021,M01,2021 Jan,4.6,01,2021-01-01,Arkansas
2021,M02,2021 Feb,4.5,02,2021-02-01,Arkansas
2021,M03,2021 Mar,4.4,03,2021-03-01,Arkansas
2021,M04,2021 Apr,4.4,04,2021-04-01,Arkansas
2021,M05,2021 May,4.4,05,2021-05-01,Arkansas
2021,M06,2021 Jun,4.4,06,2021-06-01,Arkansas
2021,M07,2021 Jul,4.3,07,2021-07-01,Arkansas
